AvgFit,Purge,FixedValues
0.893333,False,10
0.309762,False,10
0.311714,False,10
0.884762,False,10
0.894286,False,10
0.191031,False,10
0.887619,False,10
0.881714,False,10
0.308316,False,10
0.88819,False,10
0.908571,False,10
0.889905,False,10
0.31018,False,10
0.890667,False,10
0.892762,False,10
0.893905,False,10
0.900952,False,10
0.915619,False,10
0.882667,False,10
0.892952,False,10
0.310609,False,10
0.89581,False,10
0.885905,False,10
0.311034,False,10
0.908952,False,10
0.311791,False,10
0.311604,False,10
0.889905,False,10
0.893333,False,10
0.884762,False,10
0.32569,True,10
0.937524,True,10
0.943619,True,10
0.324476,True,10
0.943619,True,10
0.950286,True,10
0.324088,True,10
0.941905,True,10
0.956952,True,10
0.957524,True,10
0.324405,True,10
0.322252,True,10
0.324578,True,10
0.194866,True,10
0.954857,True,10
0.95619,True,10
0.323469,True,10
0.945333,True,10
0.32117,True,10
0.322201,True,10
0.950476,True,10
0.943238,True,10
0.323078,True,10
0.323337,True,10
0.321476,True,10
0.946095,True,10
0.938667,True,10
0.952762,True,10
0.322735,True,10
0.321248,True,10
0.310354,False,20
0.31152,False,20
0.313306,False,20
0.89181,False,20
0.902857,False,20
0.312599,False,20
0.31,False,20
0.191066,False,20
0.892571,False,20
0.905524,False,20
0.23827,False,20
0.310146,False,20
0.882857,False,20
0.890476,False,20
0.314344,False,20
0.19177,False,20
0.881524,False,20
0.904571,False,20
0.312075,False,20
0.889143,False,20
0.30859,False,20
0.313129,False,20
0.306498,False,20
0.304469,False,20
0.88419,False,20
0.311918,False,20
0.312731,False,20
0.190204,False,20
0.31517,False,20
0.137407,False,20
0.32219,True,20
0.32269,True,20
0.320888,True,20
0.140558,True,20
0.953905,True,20
0.323463,True,20
0.322878,True,20
0.955048,True,20
0.937143,True,20
0.32282,True,20
0.933905,True,20
0.162878,True,20
0.324078,True,20
0.322942,True,20
0.946667,True,20
0.194972,True,20
0.195405,True,20
0.319554,True,20
0.32285,True,20
0.322901,True,20
0.195529,True,20
0.242852,True,20
0.195387,True,20
0.322435,True,20
0.162901,True,20
0.194971,True,20
0.322415,True,20
0.195995,True,20
0.194901,True,20
0.321779,True,20
0.888952,False,30
0.884381,False,30
0.88819,False,30
0.311378,False,30
0.190241,False,30
0.885333,False,30
0.191239,False,30
0.19074,False,30
0.311238,False,30
0.309827,False,30
0.897714,False,30
0.237523,False,30
0.311391,False,30
0.19042,False,30
0.88819,False,30
0.137337,False,30
0.191494,False,30
0.312356,False,30
0.884,False,30
0.311918,False,30
0.235643,False,30
0.190101,False,30
0.192172,False,30
0.313143,False,30
0.901714,False,30
0.309439,False,30
0.235997,False,30
0.89181,False,30
0.888762,False,30
0.310922,False,30
0.24417,True,30
0.945524,True,30
0.19434,True,30
0.938667,True,30
0.195283,True,30
0.947619,True,30
0.123589,True,30
0.195655,True,30
0.933333,True,30
0.195689,True,30
0.194838,True,30
0.323429,True,30
0.196374,True,30
0.195104,True,30
0.32265,True,30
0.947619,True,30
0.196505,True,30
0.195425,True,30
0.323716,True,30
0.323871,True,30
0.322417,True,30
0.323088,True,30
0.195209,True,30
0.163457,True,30
0.195139,True,30
0.323531,True,30
0.947619,True,30
0.322381,True,30
0.954476,True,30
0.324199,True,30
0.892,False,40
0.889714,False,40
0.894667,False,40
0.885143,False,40
0.884,False,40
0.886667,False,40
0.901905,False,40
0.894095,False,40
0.882857,False,40
0.906857,False,40
0.904381,False,40
0.898476,False,40
0.309544,False,40
0.888762,False,40
0.89181,False,40
0.886476,False,40
0.90781,False,40
0.909143,False,40
0.891238,False,40
0.904381,False,40
0.887619,False,40
0.915048,False,40
0.888952,False,40
0.89619,False,40
0.88781,False,40
0.312673,False,40
0.90381,False,40
0.903429,False,40
0.882667,False,40
0.898857,False,40
0.96,True,40
0.946667,True,40
0.942667,True,40
0.953333,True,40
0.196565,True,40
0.944952,True,40
0.946667,True,40
0.194835,True,40
0.94419,True,40
0.942095,True,40
0.95581,True,40
0.947238,True,40
0.946667,True,40
0.948762,True,40
0.943429,True,40
0.941333,True,40
0.953333,True,40
0.949143,True,40
0.323139,True,40
0.323738,True,40
0.934286,True,40
0.940381,True,40
0.946095,True,40
0.940571,True,40
0.946476,True,40
0.935238,True,40
0.946476,True,40
0.323293,True,40
0.938095,True,40
0.953143,True,40
