id,average_value1,average_value2
1,0.0262702,0
2,0.0295661,0
3,0.0327909,0
4,0.0361845,0
5,0.0399039,0
6,0.0441026,0
7,0.0487711,0
8,0.0539111,0
9,0.0600165,0
10,0.0662924,0
11,0.0732704,0
12,0.0804635,0
13,0.0888342,0
14,0.0975772,0
15,0.107388,0
16,0.11812,0
17,0.129846,0
18,0.145829,0
19,0.158101,0
20,0.164333,0
21,0.170118,0
22,0.175511,0
23,0.182274,0
24,0.187904,0
25,0.192579,0
26,0.196856,0
27,0.199802,0
28,0.20098,0
29,0.20278,0
30,0.204478,0
31,0.205839,0
32,0.208514,0
33,0.209923,0
34,0.209729,0
35,0.210242,0
36,0.212368,0
37,0.214802,0
38,0.216124,0
39,0.215691,0
40,0.21644,0
41,0.217521,0
42,0.218137,0
43,0.217109,0
44,0.217943,0
45,0.218391,0
46,0.217988,0
47,0.217684,0
48,0.218573,0
49,0.218672,0
50,0.220458,0
51,0.219537,0
52,0.220771,0
53,0.220509,0
54,0.220065,0
55,0.220393,0
56,0.221845,0
57,0.221722,0
58,0.22178,0
59,0.222539,0
60,0.223449,0
61,0.223682,0
62,0.223903,0
63,0.225123,0
64,0.225287,0
65,0.225444,0
66,0.226063,0
67,0.227142,0
68,0.231527,0
69,0.243077,0
70,0.247974,0
71,0.248928,0
72,0.248522,0
73,0.249544,0
74,0.248965,0
75,0.249031,0
76,0.2503,0
77,0.250129,0
78,0.250956,0
79,0.251146,0
80,0.250537,0
81,0.251381,0
82,0.251913,0
83,0.254083,0
84,0.253842,0
85,0.254975,0
86,0.255404,0
87,0.255135,0
88,0.255321,0
89,0.255035,0
90,0.255605,0
91,0.254406,0
92,0.254778,0
93,0.255836,0
94,0.256133,0
95,0.257349,0
96,0.260435,0
97,0.265289,0
98,0.27671,0
99,0.279198,0
100,0.278796,0
101,0.279346,0
102,0.279195,0
103,0.280427,0
104,0.282007,0
105,0.282804,0
106,0.281691,0
107,0.28196,0
108,0.282875,0
109,0.281372,0
110,0.281733,0
111,0.282448,0
112,0.282754,0
113,0.28295,0
114,0.28219,0
115,0.282884,0
116,0.283344,0
117,0.283614,0
118,0.282944,0
119,0.283336,0
120,0.282716,0
121,0.282783,0
122,0.284043,0
123,0.282729,0
124,0.283022,0
125,0.28369,0
126,0.283257,0
127,0.283069,0
128,0.283317,0
129,0.283236,0
130,0.283645,0
131,0.28488,0
132,0.287235,0
133,0.288111,0
134,0.28937,0
135,0.288278,0
136,0.289989,0
137,0.292975,0
138,0.302495,0
139,0.308462,0
140,0.309047,0
141,0.308136,0
142,0.307883,0
143,0.30952,0
144,0.30711,0
145,0.309139,0
146,0.308544,0
147,0.308099,0
148,0.308941,0
149,0.309547,0
150,0.310682,0
151,0.308666,0
152,0.309149,0
153,0.309304,0
154,0.308979,0
155,0.309173,0
156,0.309643,0
157,0.308698,0
158,0.309012,0
159,0.308384,0
160,0.308766,0
161,0.310302,0
162,0.308723,0
163,0.308411,0
164,0.30937,0
165,0.307688,0
166,0.308221,0
167,0.309088,0
168,0.307886,0
169,0.309871,0
170,0.308759,0
171,0.309095,0
172,0.308411,0
173,0.309316,0
174,0.309301,0
175,0.309544,0
176,0.309144,0
177,0.30934,0
178,0.309631,0
179,0.308664,0
180,0.309599,0
181,0.308898,0
182,0.308794,0
183,0.31016,0
184,0.308654,0
185,0.308627,0
186,0.309826,0
187,0.309546,0
188,0.308955,0
189,0.307823,0
190,0.31103,0
191,0.310283,0
192,0.311338,0
193,0.311847,0
194,0.31078,0
195,0.311613,0
196,0.313006,0
197,0.315808,0
198,0.315008,0
199,0.314363,0
200,0.314814,0
201,0.315954,0
202,0.315228,0
203,0.316525,0
204,0.316069,0
205,0.316268,0
206,0.315729,0
207,0.315578,0
208,0.316117,0
209,0.315593,0
210,0.315514,0
211,0.315339,0
212,0.315151,0
213,0.316015,0
214,0.316394,0
215,0.315592,0
216,0.31626,0
217,0.315812,0
218,0.315306,0
219,0.316306,0
220,0.316771,0
221,0.316603,0
222,0.316564,0
223,0.315142,0
224,0.315186,0
225,0.317202,0
226,0.316477,0
227,0.318242,0
228,0.319457,0
