id,average_value1,average_value2
1,0.026092,0
2,0.0293342,0
3,0.032441,0
4,0.0358075,0
5,0.039506,0
6,0.0437073,0
7,0.0485766,0
8,0.0542907,0
9,0.0602967,0
10,0.0668564,0
11,0.074345,0
12,0.0826208,0
13,0.09116,0
14,0.101177,0
15,0.112103,0
16,0.126398,0
17,0.141438,0
18,0.15531,0
19,0.163211,0
20,0.17376,0
21,0.186711,0
22,0.194089,0
23,0.200152,0
24,0.205554,0
25,0.217441,0
26,0.239869,0
27,0.248269,0
28,0.259138,0
29,0.28212,0
30,0.286327,0
31,0.286124,0
32,0.287636,0
33,0.286275,0
34,0.286225,0
35,0.287075,0
36,0.2889,0
37,0.28863,0
38,0.290601,0
39,0.293909,0
40,0.294183,0
41,0.293419,0
42,0.295273,0
43,0.293594,0
44,0.295358,0
45,0.298046,0
46,0.297683,0
47,0.298108,0
48,0.300562,0
49,0.300619,0
50,0.303,0
51,0.303689,0
52,0.304334,0
53,0.304616,0
54,0.304785,0
55,0.304978,0
56,0.305155,0
57,0.305159,0
58,0.305501,0
59,0.305471,0
60,0.306419,0
61,0.305577,0
62,0.306811,0
63,0.306798,0
64,0.305755,0
65,0.305798,0
66,0.305878,0
67,0.306062,0
68,0.307083,0
69,0.30523,0
70,0.306467,0
71,0.305677,0
72,0.306805,0
73,0.306215,0
74,0.306548,0
75,0.30635,0
76,0.307433,0
77,0.30848,0
78,0.31118,0
79,0.309917,0
80,0.311292,0
81,0.313275,0
82,0.313177,0
83,0.31367,0
84,0.312257,0
85,0.312561,0
86,0.311762,0
87,0.312492,0
88,0.31341,0
89,0.314781,0
90,0.316659,0
91,0.315192,0
92,0.315536,0
93,0.315945,0
94,0.317325,0
95,0.315427,0
96,0.316245,0
97,0.315663,0
98,0.317847,0
99,0.316352,0
100,0.317809,0
101,0.316993,0
102,0.317504,0
103,0.317128,0
104,0.317417,0
105,0.317866,0
106,0.317363,0
107,0.316579,0
108,0.318482,0
109,0.317946,0
110,0.318628,0
111,0.320374,0
112,0.32973,0
113,0.337288,0
114,0.337187,0
115,0.33659,0
116,0.336591,0
117,0.337715,0
118,0.337816,0
119,0.337571,0
120,0.337927,0
121,0.33882,0
122,0.339911,0
123,0.339634,0
124,0.337942,0
125,0.338337,0
126,0.33892,0
127,0.339844,0
128,0.34031,0
129,0.343778,0
130,0.347336,0
131,0.346649,0
132,0.347046,0
133,0.347757,0
134,0.34641,0
135,0.346379,0
136,0.348053,0
137,0.347001,0
138,0.349542,0
139,0.359057,0
140,0.366123,0
141,0.367092,0
142,0.366723,0
143,0.364831,0
144,0.366414,0
145,0.366086,0
146,0.365913,0
147,0.365857,0
148,0.365288,0
149,0.365223,0
150,0.365812,0
151,0.36477,0
152,0.366085,0
153,0.365391,0
154,0.367189,0
155,0.365383,0
156,0.365626,0
157,0.366163,0
158,0.367231,0
159,0.365343,0
160,0.365646,0
161,0.365044,0
162,0.366135,0
163,0.36568,0
164,0.365254,0
165,0.365996,0
166,0.36607,0
167,0.366178,0
168,0.36598,0
169,0.366582,0
