BestFit,Purge,FixedValues
1.0,False,10
0.333333,False,10
0.333333,False,10
1.0,False,10
1.0,False,10
0.2,False,10
1.0,False,10
1.0,False,10
0.333333,False,10
1.0,False,10
1.0,False,10
1.0,False,10
0.333333,False,10
1.0,False,10
1.0,False,10
1.0,False,10
1.0,False,10
1.0,False,10
1.0,False,10
1.0,False,10
0.333333,False,10
1.0,False,10
1.0,False,10
0.333333,False,10
1.0,False,10
0.333333,False,10
0.333333,False,10
1.0,False,10
1.0,False,10
1.0,False,10
0.333333,True,10
1.0,True,10
1.0,True,10
0.333333,True,10
1.0,True,10
1.0,True,10
0.333333,True,10
1.0,True,10
1.0,True,10
1.0,True,10
0.333333,True,10
0.333333,True,10
0.333333,True,10
0.2,True,10
1.0,True,10
1.0,True,10
0.333333,True,10
1.0,True,10
0.333333,True,10
0.333333,True,10
1.0,True,10
1.0,True,10
0.333333,True,10
0.333333,True,10
0.333333,True,10
1.0,True,10
1.0,True,10
1.0,True,10
0.333333,True,10
0.333333,True,10
0.333333,False,20
0.333333,False,20
0.333333,False,20
1.0,False,20
1.0,False,20
0.333333,False,20
0.333333,False,20
0.2,False,20
1.0,False,20
1.0,False,20
0.25,False,20
0.333333,False,20
1.0,False,20
1.0,False,20
0.333333,False,20
0.2,False,20
1.0,False,20
1.0,False,20
0.333333,False,20
1.0,False,20
0.333333,False,20
0.333333,False,20
0.333333,False,20
0.333333,False,20
1.0,False,20
0.333333,False,20
0.333333,False,20
0.2,False,20
0.333333,False,20
0.142857,False,20
0.333333,True,20
0.333333,True,20
0.333333,True,20
0.142857,True,20
1.0,True,20
0.333333,True,20
0.333333,True,20
1.0,True,20
1.0,True,20
0.333333,True,20
1.0,True,20
0.166667,True,20
0.333333,True,20
0.333333,True,20
1.0,True,20
0.2,True,20
0.2,True,20
0.333333,True,20
0.333333,True,20
0.333333,True,20
0.2,True,20
0.25,True,20
0.2,True,20
0.333333,True,20
0.166667,True,20
0.2,True,20
0.333333,True,20
0.2,True,20
0.2,True,20
0.333333,True,20
1.0,False,30
1.0,False,30
1.0,False,30
0.333333,False,30
0.2,False,30
1.0,False,30
0.2,False,30
0.2,False,30
0.333333,False,30
0.333333,False,30
1.0,False,30
0.25,False,30
0.333333,False,30
0.2,False,30
1.0,False,30
0.142857,False,30
0.2,False,30
0.333333,False,30
1.0,False,30
0.333333,False,30
0.25,False,30
0.2,False,30
0.2,False,30
0.333333,False,30
1.0,False,30
0.333333,False,30
0.25,False,30
1.0,False,30
1.0,False,30
0.333333,False,30
0.25,True,30
1.0,True,30
0.2,True,30
1.0,True,30
0.2,True,30
1.0,True,30
0.125,True,30
0.2,True,30
1.0,True,30
0.2,True,30
0.2,True,30
0.333333,True,30
0.2,True,30
0.2,True,30
0.333333,True,30
1.0,True,30
0.2,True,30
0.2,True,30
0.333333,True,30
0.333333,True,30
0.333333,True,30
0.333333,True,30
0.2,True,30
0.166667,True,30
0.2,True,30
0.333333,True,30
1.0,True,30
0.333333,True,30
1.0,True,30
0.333333,True,30
1.0,False,40
1.0,False,40
1.0,False,40
1.0,False,40
1.0,False,40
1.0,False,40
1.0,False,40
1.0,False,40
1.0,False,40
1.0,False,40
1.0,False,40
1.0,False,40
0.333333,False,40
1.0,False,40
1.0,False,40
1.0,False,40
1.0,False,40
1.0,False,40
1.0,False,40
1.0,False,40
1.0,False,40
1.0,False,40
1.0,False,40
1.0,False,40
1.0,False,40
0.333333,False,40
1.0,False,40
1.0,False,40
1.0,False,40
1.0,False,40
1.0,True,40
1.0,True,40
1.0,True,40
1.0,True,40
0.2,True,40
1.0,True,40
1.0,True,40
0.2,True,40
1.0,True,40
1.0,True,40
1.0,True,40
1.0,True,40
1.0,True,40
1.0,True,40
1.0,True,40
1.0,True,40
1.0,True,40
1.0,True,40
0.333333,True,40
0.333333,True,40
1.0,True,40
1.0,True,40
1.0,True,40
1.0,True,40
1.0,True,40
1.0,True,40
1.0,True,40
0.333333,True,40
1.0,True,40
1.0,True,40
