id,average_value1,average_value2
1,0.0297854,32.6667
2,0.0324355,29.9333
3,0.034675,27.9333
4,0.0367941,26.2667
5,0.0393291,24.5333
6,0.042052,22.9
7,0.0450267,21.3667
8,0.049226,19.5
9,0.0525483,18.2333
10,0.0566693,16.8333
11,0.0613018,15.5
12,0.0661943,14.3333
13,0.0722202,13.1
14,0.0792031,11.9333
15,0.0874822,10.7667
16,0.0946733,9.93333
17,0.10299,9.1
18,0.110515,8.5
19,0.120632,7.8
20,0.129529,7.26667
21,0.134888,6.93333
22,0.145851,6.43333
23,0.161059,5.93333
24,0.170463,5.5
25,0.178611,5.33333
26,0.189114,5.1
27,0.21328,4.93333
28,0.222857,4.63333
29,0.23004,4.43333
30,0.232619,4.3
31,0.232619,4.3
32,0.235317,4.2
33,0.264682,3.96667
34,0.267182,3.86667
35,0.279881,3.6
36,0.287579,3.43333
37,0.287817,3.3
38,0.296151,3.16667
39,0.30504,3.03333
40,0.331706,2.9
41,0.331706,2.9
42,0.331706,2.9
43,0.331706,2.9
44,0.353928,2.83333
45,0.353928,2.83333
46,0.354524,2.8
47,0.354524,2.8
48,0.360079,2.76667
49,0.361984,2.7
50,0.364762,2.63333
51,0.364762,2.63333
52,0.366667,2.56667
53,0.394444,2.43333
54,0.396111,2.4
55,0.396111,2.4
56,0.400555,2.33333
57,0.400555,2.33333
58,0.405,2.26667
59,0.405,2.26667
60,0.407778,2.23333
61,0.407778,2.23333
62,0.407778,2.23333
63,0.407778,2.23333
64,0.43,2.16667
65,0.434444,2.1
66,0.456666,2.03333
67,0.456666,2.03333
68,0.456666,2.03333
69,0.478889,1.96667
70,0.478889,1.96667
71,0.501111,1.9
72,0.501111,1.9
73,0.501111,1.9
74,0.501111,1.9
75,0.501111,1.9
76,0.501111,1.9
77,0.501111,1.9
78,0.501111,1.9
79,0.501111,1.9
80,0.501111,1.9
81,0.501111,1.9
82,0.527778,1.76667
83,0.527778,1.76667
84,0.527778,1.76667
85,0.527778,1.76667
86,0.527778,1.76667
87,0.55,1.7
88,0.55,1.7
89,0.55,1.7
90,0.55,1.7
91,0.55,1.7
92,0.55,1.7
93,0.55,1.7
94,0.55,1.7
95,0.55,1.7
96,0.554444,1.63333
97,0.554444,1.63333
98,0.554444,1.63333
99,0.554444,1.63333
100,0.554444,1.63333
101,0.554444,1.63333
102,0.554444,1.63333
103,0.554444,1.63333
104,0.557222,1.56667
105,0.557222,1.56667
106,0.557222,1.56667
107,0.561666,1.5
108,0.561666,1.5
109,0.564444,1.46667
110,0.564444,1.46667
111,0.564444,1.46667
112,0.564444,1.46667
113,0.564444,1.46667
114,0.564444,1.46667
115,0.564444,1.46667
116,0.564444,1.46667
117,0.564444,1.46667
118,0.564444,1.46667
119,0.564444,1.46667
120,0.564444,1.46667
121,0.564444,1.46667
122,0.564444,1.46667
123,0.564444,1.46667
124,0.564444,1.46667
125,0.564444,1.46667
126,0.564444,1.46667
127,0.564444,1.46667
128,0.564444,1.46667
129,0.564444,1.46667
130,0.564444,1.46667
131,0.564444,1.46667
132,0.564444,1.46667
133,0.564444,1.46667
134,0.564444,1.46667
135,0.564444,1.46667
136,0.564444,1.46667
137,0.564444,1.46667
138,0.564444,1.46667
139,0.564444,1.46667
140,0.564444,1.46667
141,0.564444,1.46667
142,0.564444,1.46667
143,0.564444,1.46667
144,0.564444,1.46667
145,0.564444,1.46667
146,0.564444,1.46667
147,0.564444,1.46667
148,0.564444,1.46667
149,0.564444,1.46667
150,0.564444,1.46667
151,0.564444,1.46667
152,0.564444,1.46667
153,0.564444,1.46667
154,0.564444,1.46667
155,0.564444,1.46667
156,0.564444,1.46667
157,0.564444,1.46667
158,0.586666,1.4
159,0.586666,1.4
160,0.591111,1.33333
161,0.591111,1.33333
162,0.591111,1.33333
163,0.591111,1.33333
164,0.591111,1.33333
165,0.591111,1.33333
166,0.591111,1.33333
167,0.591111,1.33333
168,0.613333,1.26667
169,0.635555,1.2
170,0.635555,1.2
171,0.635555,1.2
172,0.635555,1.2
173,0.635555,1.2
174,0.635555,1.2
175,0.635555,1.2
176,0.635555,1.2
177,0.635555,1.2
178,0.635555,1.2
179,0.635555,1.2
180,0.635555,1.2
181,0.635555,1.2
182,0.635555,1.2
183,0.635555,1.2
184,0.635555,1.2
185,0.635555,1.2
186,0.635555,1.2
187,0.635555,1.2
188,0.635555,1.2
189,0.635555,1.2
190,0.635555,1.2
191,0.635555,1.2
192,0.635555,1.2
193,0.635555,1.2
194,0.635555,1.2
195,0.635555,1.2
196,0.635555,1.2
197,0.635555,1.2
198,0.635555,1.2
199,0.635555,1.2
200,0.635555,1.2
201,0.635555,1.2
202,0.635555,1.2
203,0.635555,1.2
204,0.64,1.13333
205,0.64,1.13333
206,0.64,1.13333
207,0.64,1.13333
208,0.64,1.13333
209,0.64,1.13333
210,0.64,1.13333
211,0.64,1.13333
212,0.64,1.13333
213,0.64,1.13333
214,0.64,1.13333
215,0.64,1.13333
216,0.64,1.13333
217,0.64,1.13333
218,0.662222,1.06667
219,0.662222,1.06667
220,0.662222,1.06667
221,0.662222,1.06667
222,0.662222,1.06667
223,0.662222,1.06667
224,0.662222,1.06667
225,0.662222,1.06667
226,0.662222,1.06667
227,0.662222,1.06667
228,0.662222,1.06667
229,0.662222,1.06667
230,0.662222,1.06667
231,0.662222,1.06667
232,0.662222,1.06667
233,0.662222,1.06667
234,0.662222,1.06667
235,0.662222,1.06667
236,0.662222,1.06667
237,0.662222,1.06667
238,0.662222,1.06667
239,0.662222,1.06667
240,0.662222,1.06667
241,0.662222,1.06667
242,0.662222,1.06667
243,0.662222,1.06667
244,0.662222,1.06667
245,0.662222,1.06667
246,0.662222,1.06667
247,0.662222,1.06667
248,0.662222,1.06667
