FixedValues,WinRate,AvgIters
80,1,1
78,1,1
75,1,1
73,1,1
74,1,1
72,1,1
76,1,1
79,1,1
67,1,1.14
66,1,1.28
77,1,1
69,1,1
70,1,1
71,1,1
64,1,1.88
68,1,1.14
63,1,2.16
62,1,2.54
60,1,3.4
59,1,3.56
65,1,1.64
56,1,4.4
53,1,6.12
57,1,4.2
61,1,2.74
58,1,3.92
55,1,5.02
54,1,5.52
52,1,6.24
51,1,6.46
50,1,7.4
48,1,8.2
49,1,8.26
46,1,11.34
47,1,8.8
43,1,33.24
41,0.96,39.4792
45,0.96,11.1667
44,0.96,15.9167
40,0.96,87.9792
2,1,182.8
42,0.92,23.1522
0,0.98,199.531
1,1,241.5
5,0.96,329.542
39,0.84,63.1667
37,0.84,129.548
38,0.8,54.1
3,0.94,305.319
4,0.88,258.932
7,0.88,250.614
6,0.86,272.07
36,0.78,113.282
8,0.88,490.614
11,0.84,455.381
9,0.8,443.325
10,0.74,401.784
13,0.72,431.444
34,0.62,182.419
33,0.56,317.679
31,0.54,363.074
35,0.52,353.538
12,0.64,593.656
17,0.5,583.24
16,0.46,551.435
14,0.58,627.552
15,0.56,643.821
21,0.4,486.25
20,0.44,643.273
29,0.38,471.789
28,0.3,498.4
27,0.38,484.579
22,0.4,567.7
30,0.3,139.667
23,0.32,851.062
32,0.28,162.571
24,0.34,698.882
19,0.36,696
26,0.22,518.818
18,0.36,811.611
25,0.24,494.333
